id,title,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel
153,PHP Fundamentals - Start Earning The Top Dollars You Deserve,TRUE,195,12068,81,12,All Levels
154,Interactive Dynamic JavaScript for beginners DOM,TRUE,200,5559,35,21,Beginner Level
155,Javascript Intermediate level 1 - Mastering the DOM,TRUE,100,1838,169,31,All Levels
156,Sublime Text for Rapid Web Development,TRUE,20,2104,69,14,All Levels
157,Servlets and JSPs Tutorial: Learn Web Applications With Java,TRUE,35,15187,970,64,All Levels
158,Projects in PHP and MySQL,TRUE,60,10606,570,88,All Levels
159,PHP OOP: Object Oriented Programming for beginners + Project,TRUE,200,6497,901,221,All Levels
160,React Redux React-Router: From Beginner to Paid Professional,TRUE,20,11536,876,60,All Levels
161,Django Core | A Reference Guide to Core Django Concepts,TRUE,195,16282,303,159,Intermediate Level
162,"Angular 2 Complete E-Commerce App Course - Java,Spring,MySQL",TRUE,195,949,129,89,All Levels
163,"Build An Online Bank With Java, Angular 2, Spring and More",TRUE,195,1995,286,45,Beginner Level
164,The Complete jQuery Course: From Beginner To Advanced!,TRUE,195,6636,302,50,All Levels
165,Projects in AngularJS - Learn by building 10 Projects,TRUE,40,7146,629,77,All Levels
166,The Ultimate Vue JS 2 Developers Course,TRUE,195,1703,292,178,All Levels
167,React JS - Build real world JS apps & deploy on cloud,TRUE,175,12815,262,53,All Levels
168,Angular 4 Front To Back,TRUE,40,44,0,68,All Levels
169,"Modern Web Development with SASS, Gulp, NPM & Web Workflows",TRUE,95,502,62,59,Beginner Level
170,"HTML5, CSS3 And JavaScript Fundamentals 2016",TRUE,115,627,125,7,All Levels
171,"Angular 4 - Concepts, Code and Collective Wisdom",TRUE,50,851,164,75,Intermediate Level
172,Learn E-Commerce Website in PHP & MySQL From Scratch!,FALSE,0,29990,1342,87,All Levels
173,JavaScript Game Development: Create Your Own Breakout Game,FALSE,0,10179,314,21,All Levels
174,HTML and HTML5 For Beginners 2016,TRUE,200,563,178,32,All Levels
175,A Very Complete Introduction To Laravel,TRUE,20,2320,114,43,All Levels
176,"Learn to code, Become a Web Developer and Master JavaScript!",TRUE,200,2353,47,91,All Levels
177,Serverless Architecture on Amazon Web Services,FALSE,0,13210,978,8,Intermediate Level
178,jQuery Essentials: Learn the Fundamental of jQuery,TRUE,20,1004,43,40,All Levels
179,Expert Guide : Mastering Functions in JavaScript !,TRUE,195,3015,30,19,All Levels
180,Learn Angular 4 from Scratch,FALSE,0,8693,522,11,Beginner Level
181,Discover HTML Essential guide to HTML how to create webpages,TRUE,85,8711,44,22,Beginner Level
182,HTML5 and CSS3 for beginners: Create a Website from Scratch,TRUE,200,9945,101,43,Beginner Level
183,Introduction to Web Development,TRUE,20,18143,159,15,Beginner Level
184,jQuery Fundamentals Powerful Bootcamp for beginners,TRUE,150,13882,63,47,All Levels
185,The Complete HTML & CSS Course - From Novice To Professional,TRUE,195,57422,874,84,All Levels
186,JavaScript Basics Web Development Building Blocks,TRUE,95,10179,68,17,Beginner Level
187,Bootstrap unleash the power faster & easier web development,TRUE,150,18101,88,68,All Levels
188,JavaScript Design Patterns: 20 Patterns for Expert Code,TRUE,95,2789,243,26,Expert Level
189,Fix Google's New 'Not Secure' Warning with Let's Encrypt!,TRUE,95,1437,24,20,Beginner Level
190,JavaScript for Beginners Welcome to learning JavaScript,TRUE,50,10864,63,26,Beginner Level
191,Benefits of Thinking Mobile First Future of Website Design,TRUE,75,14254,27,20,Beginner Level
192,Javascript from Beginner to Advanced Level,TRUE,195,6134,160,50,Beginner Level
193,AJAX Development,TRUE,20,7867,147,23,All Levels
194,Interaction Design Specialist For Web Developers,TRUE,95,8594,37,18,All Levels
195,PHP Security,TRUE,50,1892,147,24,All Levels
196,The Bubble Course - Create Complete Web Apps without Coding,TRUE,30,3960,220,47,Beginner Level
197,The Complete HTML5 & CSS3 Course Build Professional Websites,TRUE,195,10518,129,57,All Levels
198,CSS Web Development Crash Course,TRUE,20,10008,53,26,Beginner Level
199,Mastering DevOps,TRUE,100,1023,118,38,Intermediate Level
200,Building Websites Create a fully functional Web contact form,TRUE,200,3392,29,19,Beginner Level
201,Create a Dynamic User Registration Form from scratch,TRUE,100,7213,50,38,Beginner Level
202,A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,TRUE,35,4183,231,86,Intermediate Level
203,HTML Workshop,TRUE,20,25854,306,17,All Levels
204,Python for Beginners: Python Programming Language | Tutorial,TRUE,150,6153,125,84,Beginner Level
205,Creating Animations using HTML5 Canvas,TRUE,25,4010,17,12,All Levels
206,Bootstrap 4: Exploring New Features,TRUE,75,5022,38,13,All Levels
207,Bootstrap 3 -> Profitable WordPress Theme Development!,TRUE,40,5547,80,40,All Levels
208,Intro to Git,TRUE,20,2532,291,30,Beginner Level
209,WordPress Domination #2: Leads & Scarcity,TRUE,95,2362,4,13,Beginner Level
210,Learn How to Manage & Customize  Web Sites By Drupal CMS,TRUE,140,7741,9,36,All Levels
211,Using Modern JavaScript Today,TRUE,50,1658,185,68,Intermediate Level
212,Up and Running with jQuery,FALSE,0,3324,138,19,All Levels
213,Learn How To Build A Professional Web Site By Using Joomla,TRUE,70,7184,22,29,All Levels
214,Power up HTML5 with JavaScript,TRUE,100,4442,23,28,Beginner Level
